book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn,isbn13,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,description
1,2767052,2767052,2792775,272,439023483,9780439023480,2008,"The Hunger Games","The Hunger Games (The Hunger Games, #1)",eng,4.34,4780653,4942365,"could survive wild every one make sure live see morning ruin place known north america lie nation panem shining capitol surrounded twelve outlying district capitol harsh cruel keep district line forcing send one boy one girl age twelve eighteen participate annual hunger game fight death live katniss everdeen life alone mother younger sister regard death sentence step forward take sister place game katniss close dead survival second nature without really meaning becomes contender win start making choice weight survival humanity life love"
2,3,3,4640799,491,439554934,9780439554930,1997,"Harry Potter and the Philosopher's Stone","Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",eng,4.44,4602479,4800065,"harry potter idea famous raised miserable aunt uncle terrified harry learn really wizard parent everything change harry summoned attend infamous school wizard begin discover clue illustrious birthright surprising way greeted lovable giant unique curriculum colorful faculty unusual school harry find drawn deep inside mystical world never knew existed closer noble destiny"
3,41865,41865,3212258,226,316015849,9780316015840,2005,Twilight,"Twilight (Twilight, #1)",eng,3.57,3866839,3916824,"three thing absolutely edward part know dominant part might thirsted third unconditionally irrevocably love seductive extraordinarily suspenseful twilight love story bite"
4,2657,2657,3275794,487,61120081,9780061120080,1960,"To Kill a Mockingbird","To Kill a Mockingbird",eng,4.25,3198671,3340896,"unforgettable novel childhood sleepy southern town crisis conscience rocked kill mockingbird became instant bestseller critical success first published went win pulitzer prize later made academy film also dramatic deeply moving kill mockingbird take reader root human behavior innocence experience kindness cruelty love hatred humor pathos million copy print translated forty language regional story young alabama woman claim universal appeal harper lee always considered book simple love story today regarded masterpiece american literature"
5,4671,4671,245494,1356,743273567,9780743273560,1925,"The Great Gatsby","The Great Gatsby",eng,3.89,2683664,2773745,"alternate cover edition isbn great gatsby scott fitzgerald third book stand supreme achievement career exemplary novel jazz age acclaimed generation reader story fabulously wealthy jay gatsby love beautiful daisy buchanan lavish party long island time new york time noted gin national drink sex national obsession exquisitely crafted tale america great gatsby one great classic literature back cover"
6,11870085,11870085,16827462,226,525478817,9780525478810,2012,"The Fault in Our Stars","The Fault in Our Stars",eng,4.26,2346404,2478609,"despite medical miracle bought year hazel never anything terminal final chapter inscribed upon diagnosis gorgeous plot twist named augustus water suddenly appears cancer kid support group hazel story completely bold irreverent raw fault star author john green ambitious heartbreaking work yet brilliantly exploring funny thrilling tragic business alive love"
7,5907,5907,1540236,969,618260307,9780618260300,1937,"The Hobbit or There and Back Again","The Hobbit",eng,4.25,2071616,2196809,"hole ground lived hobbit nasty dirty wet hole filled end worm oozy smell yet dry bare sandy hole nothing sit eat mean tolkien child hobbit met instant critical acclaim first published recognized timeless classic introduction hobbit bilbo baggins wizard gandalf gollum spectacular world recount adventure reluctant hero powerful dangerous ring cruel dragon smaug magnificent text paperback edition based first published great britain collins modern classic includes note text douglas anderson"
8,5107,5107,3036731,360,316769177,9780316769170,1951,"The Catcher in the Rye","The Catcher in the Rye",eng,3.79,2044241,2120637,"christmas time holden caulfield expelled yet another school fleeing crook pencey prep pinball around new york city seeking solace fleeting bull stranger dive hotel wandering alone round central park getting beaten pimp cut erstwhile girlfriend city beautiful terrible neon loneliness seedy glamour mingled sense possibility emptiness holden pass like ghost thinking always kid sister phoebe person really understands determination escape phony find life true catcher rye classic elegy teenage alienation capturing deeply human need connection bewildering sense loss leave childhood behind classic novel teenage angst rebellion first published novel included time list best novel written since named modern library reader one best novel century frequently challenged court liberal use profanity portrayal sexuality novel every teenage boy want read"
9,960,960,3338963,311,1416524797,9781416524790,2000,"Angels & Demons ","Angels & Demons  (Robert Langdon, #1)",eng,3.85,2001311,2078754,"harvard symbologist robert langdon summoned swiss research facility analyze cryptic symbol seared chest murdered physicist discovers unimaginable deadly vendetta catholic church underground organization illuminati desperate race save vatican powerful time bomb langdon join force rome beautiful mysterious scientist vittoria vetra together embark frantic hunt sealed crypt dangerous catacomb deserted cathedral depth secretive vault earth illuminati lair back cover"
10,1885,1885,3060926,3455,679783261,9780679783270,1813,"Pride and Prejudice","Pride and Prejudice",eng,4.24,2035490,2191465,"since immediate success pride prejudice remained one popular novel english language jane austen called brilliant work darling child vivacious heroine elizabeth bennet delightful creature ever appeared print romantic clash opinionated elizabeth proud beau darcy splendid performance civilized sparring jane austen radiant wit sparkle character dance delicate quadrille flirtation intrigue making book superb comedy manner regency cover edition isbn"
11,77203,77203,3295919,283,1594480001,9781594480000,2003,"The Kite Runner ","The Kite Runner",eng,4.26,1813044,1878095,"afghanistan amir desperate win local tournament loyal friend hassan promise help neither boy foresee would happen hassan afternoon event shatter life russian invade family forced flee america amir realises one day must return afghanistan taliban rule find one thing new world grant redemption"
12,13335037,13335037,13155899,210,62024035,9780062024040,2011,Divergent,"Divergent (Divergent, #1)",eng,4.24,1903563,2216814,"beatrice prior dystopian chicago world society divided five faction dedicated cultivation particular honest abnegation selfless dauntless brave amity peaceful erudite intelligent appointed day every year must select faction devote rest life beatrice decision staying family really ca make choice surprise everyone including highly competitive initiation follows beatrice renames tris struggle alongside fellow initiate live choice made together must undergo extreme physical test endurance intense psychological simulation devastating consequence initiation transforms tris must determine friend really exactly romance sometimes fascinating sometimes exasperating boy fit life chosen tris also secret one kept hidden everyone warned mean death discovers unrest growing conflict threaten unravel seemingly perfect society also learns secret might help save love might destroy"
13,5470,5470,153313,995,451524934,9780451524940,1949,"Nineteen Eighty-Four",1984,eng,4.14,1956832,2053394,"year come gone george orwell prophetic nightmarish vision world becoming timelier ever still great modern classic negative utopia startlingly original haunting novel creates imaginary world completely convincing first sentence last four word one deny novel hold imagination whole generation power power seems grow lessen passage time"
14,7613,7613,2207778,896,452284244,9780452284240,1945,"Animal Farm: A Fairy Story","Animal Farm",eng,3.87,1881700,1982987,"animal equal animal equal farm taken overworked mistreated animal flaming idealism stirring slogan set create paradise progress justice equality thus stage set one telling satiric fable ever fairy tale record evolution revolution tyranny totalitarianism terrible animal farm first published stalinist russia seen target today devastatingly clear wherever whenever freedom attacked whatever banner cutting clarity savage comedy george orwell masterpiece meaning message still ferociously fresh"
