book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn,isbn13,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,description
45,4214,4214,1392700,264,770430074,9780770430080,2001,"Life of Pi","Life of Pi",NULL,3.88,1003228,1077431,"life pi fantasy adventure novel yann martel published protagonist piscine molitor pi patel tamil boy pondicherry explores issue spirituality practicality early age survives day shipwreck stranded boat pacific ocean bengal tiger named richard parker"
132,3431,3431,2561472,123,1401308589,9781401308580,2003,"The Five People You Meet in Heaven","The Five People You Meet in Heaven",NULL,3.9,449501,474699,"also see alternate cover edition isbn ace ace save mother life clary must travel city glass ancestral home shadowhunters never mind entering city without permission law breaking law could mean death make thing worse learns jace want simon thrown prison shadowhunters deeply suspicious vampire withstand clary uncovers family past find ally mysterious shadowhunter sebastian valentine mustering full force power destroy shadowhunters forever chance defeat fight alongside eternal enemy downworlders shadowhunters put aside hatred work together jace realizes exactly much willing risk clary harness newfound power help save glass city whatever cost love mortal sin secret past prove deadly clary jace face valentine third installment new york time bestselling series mortal instrument"
204,5326,5326,3097440,2380,1561797464,9781561797460,1843,"A Christmas Carol","A Christmas Carol",NULL,4.02,394540,441396,"girl selection chance lifetime opportunity escape life laid since birth swept world glittering gown priceless jewel live palace compete heart gorgeous prince america singer selected nightmare mean turning back secret love aspen caste leaving home enter fierce competition crown want living palace constantly threatened violent rebel america meet prince maxon gradually start question plan made realizes life always dreamed may compare future never imagined"
237,10592,10592,1552134,249,1416524304,9781416524300,1974,Carrie,Carrie,NULL,3.93,356814,377650,"zombie war came unthinkably close eradicating humanity max brook driven urgency preserving experience survivor apocalyptic year traveled across united state america throughout world decimated city teemed upwards thirty million soul remote inhospitable area planet recorded testimony men woman sometimes child came living least undead hell dreadful time world war z result never access document powerfully conveys depth fear horror also ineradicable spirit resistance gripped human society plague infamous village new dachang united federation china epidemiological trail began patient zero unnamed northern forest untold number sought terrible temporary refuge cold united state southern africa redeker plan provided hope humanity unspeakable price redoubt north american tide finally started turn invaluable chronicle reflects full scope duration zombie book capture haunting immediacy human dimension epochal event facing often raw vivid nature personal account requires degree courage part reader effort invaluable brook say introduction excluding human factor risking kind personal detachment history may heaven forbid lead u one day repeat end human factor true difference u enemy refer living dead note numerical factual material contained edition previously published auspex united nation postwar commission"
288,19691,19691,1112006,117,425172902,9780425172900,1984,"The Hunt for Red October","The Hunt for Red October (Jack Ryan Universe, #4)",NULL,4.01,270318,278255,"mindy kaling lived many life obedient child immigrant professional timid chubster afraid bike ben affleck impersonating performer playwright finally comedy writer actress prone starting fight friend coworkers sentence say one last thing swear shut perhaps want know mindy think make great best friend someone fill prescription middle night make great guy one aware elderly people room time act accordingly perfect amount fame famous never get convicted murder court law maintain trim figure find information page come right book mostly everyone hanging without mindy invite reader tour life unscientific observation romance friendship hollywood several conveniently placed stopping point run errand make phone call mindy kaling really girl next door much literally anywhere continental united state definitely live india sri lanka"
321,10365,10365,115,69,375806814,9780375806810,1961,"Where the Red Fern Grows","Where the Red Fern Grows",NULL,4.04,268548,280179,"unbearable lightness milan kundera tell story young woman love man torn love incorrigible womanizing one mistress humbly faithful lover magnificent novel juxtaposes geographically distant place brilliant playful reflection variety style take place perhaps major achievement one world truly great writer"
409,9375,9375,2129359,94,375508414,9780375508420,1987,"Fried Green Tomatoes at the Whistle Stop Cafe","Fried Green Tomatoes at the Whistle Stop Cafe",NULL,4.26,207508,216286,"workaholic attorney samantha sweeting done unthinkable made mistake huge wreck chance partnership going utter meltdown walk london office get train end middle nowhere asking direction big beautiful house mistaken interviewee find offered job housekeeper employer idea hired samantha idea work oven sew button bake potato get ironing board open take deep breath begin find story delicious bread learns bake old life ever catch want back"
413,7190,7190,1263212,1341,NULL,NULL,1844,"Les Trois Mousquetaires","The Three Musketeers",NULL,4.06,195274,221481,"first book alyson noël extraordinary new immortal series enter enchanting new world true love never dy horrible accident claim life family ever bloom see people aura hear thought know someone entire life story touching going way avoid human contact suppress ability branded freak new high everything change meet damen gorgeous exotic wealthy one silence noise random energy magic intense though peer straight soul ever drawn deeper enticing world secret mystery left question answer idea really thing know true falling deeply helplessly love"
465,14758,14758,964332,53,743495667,9780743495660,2002,"In Her Shoes","In Her Shoes",NULL,3.78,167400,174338,"thing never easy oscar sweet disastrously overweight lovesick dominican ghetto nerd home new jersey life mother rebellious sister oscar dream becoming dominican tolkien finding love may never get want thanks curse haunted oscar family generation dooming prison torture tragic accident love oscar still waiting first kiss recent victim diaz immerses u tumultuous life oscar history family large rendering genuine warmth dazzling energy humor insight experience ultimately endless human capacity persevere face heartbreak loss true literary triumph brief wondrous life oscar wao confirms junot diaz one best exciting voice time"
487,7670,7670,997271,122,60541814,9780060541810,1969,"The Andromeda Strain","The Andromeda Strain",NULL,3.87,173186,178917,"kahlil gibran masterpiece prophet one beloved classic time published translated twenty language american edition alone sold nine million prophet collection poetic essay philosophical spiritual inspirational gibran musing divided chapter covering sprawling topic love marriage child giving eating drinking work joy sorrow housing clothes buying selling crime punishment law freedom reason passion pain teaching friendship talking time good evil prayer pleasure beauty religion death"
